"상품명","평가일","수익률"
"풍차1","2022-04-01","0.07444003004"
"풍차2","2022-04-01","-0.03935088407"
"풍차3","2022-04-01","0.02218355301"
"풍차4","2022-04-01","0.02413612825"
"풍차5","2022-04-01","0.08229717514"
"풍차6","2022-04-01","0.0507643617"
"풍차7","2022-04-01","0.0815664957"
"풍차8","2022-04-01","0.01006121313"
"풍차9","2022-04-01","0.02219332078"
"풍차10","2022-04-01","-0.000001504261573"
"풍차11","2022-04-01","-0.02118371682"
"풍차12","2022-04-01","0.03873285682"
"풍차1","2022-05-07","0.06235148829"
"풍차2","2022-05-07","-0.06963333333"
"풍차3","2022-05-07","0.007834218376"
"풍차4","2022-05-07","0.001292356792"
"풍차5","2022-05-07","0.08167344633"
"풍차6","2022-05-07","0.06493723404"
"풍차7","2022-05-07","-0.01303255814"
"풍차8","2022-05-07","-0.007706494952"
"풍차9","2022-05-07","0.01300173913"
"풍차10","2022-05-07","-0.01035192308"
"풍차11","2022-05-07","-0.03680615385"
"풍차12","2022-05-07","0.05683800344"
"풍차1","2022-06-07","0.04089166667"
"풍차2","2022-06-07","-0.08850940171"
"풍차3","2022-06-07","0.006231620369"
"풍차4","2022-06-07","-0.004365496298"
"풍차5","2022-06-07","0.06338181818"
"풍차6","2022-06-07","0.05307326203"
"풍차7","2022-06-07","-0.02241549296"
"풍차8","2022-06-07","-0.03192695313"
"풍차9","2022-06-07","-0.002589565217"
"풍차10","2022-06-07","-0.03153980583"
"풍차11","2022-06-07","-0.03988992248"
"풍차12","2022-06-07","0.05158131868"
"풍차1","2022-07-07","-0.0137202381"
"풍차2","2022-07-07","-0.1351538462"
"풍차3","2022-07-07","-0.07319165591"
"풍차4","2022-07-07","-0.05726718112"
"풍차5","2022-07-07","-0.001535227273"
"풍차6","2022-07-07","-0.02440427807"
"풍차7","2022-07-07","-0.08375164319"
"풍차8","2022-07-07","-0.0812640625"
"풍차9","2022-07-07","-0.03179492386"
"풍차10","2022-07-07","-0.05974660194"
"풍차11","2022-07-07","-0.09688449612"
"풍차12","2022-07-07","-0.01315934066"
"풍차1","2022-08-01","-0.007602702703"
"풍차2","2022-08-01","-0.1056794872"
"풍차3","2022-08-01","-0.01701268293"
"풍차4","2022-08-01","-0.04336271642"
"풍차5","2022-08-01","0.004977659574"
"풍차6","2022-08-01","-0.01182673797"
"풍차7","2022-08-01","-0.06739045455"
"풍차8","2022-08-01","-0.07061367188"
"풍차9","2022-08-01","-0.02146497462"
"풍차10","2022-08-01","-0.01727440758"
"풍차11","2022-08-01","-0.08813643411"
"풍차12","2022-08-01","0.002137362637"
"풍차1","2022-09-01","0.005310810811"
"풍차2","2022-09-01","-0.09293589744"
"풍차3","2022-09-01","-0.01986390244"
"풍차4","2022-09-01","-0.04812057143"
"풍차5","2022-09-01","0.001480319149"
"풍차6","2022-09-01","0.0007668449198"
"풍차7","2022-09-01","-0.06078363636"
"풍차8","2022-09-01","-0.059928125"
"풍차9","2022-09-01","-0.02380101523"
"풍차10","2022-09-01","-0.02008720379"
"풍차11","2022-09-01","-0.05746995305"
"풍차12","2022-09-01","0.0131032967"
"풍차1","2022-10-01","0.0003637837838"
"풍차2","2022-10-01","-0.1080589744"
"풍차3","2022-10-01","-0.00516"
"풍차4","2022-10-01","-0.06404649249"
"풍차5","2022-10-01","-0.01602446809"
"풍차6","2022-10-01","-0.02054278075"
"풍차7","2022-10-01","-0.05770818182"
"풍차8","2022-10-01","-0.07569375"
"풍차9","2022-10-01","-0.05551675127"
"풍차10","2022-10-01","-0.03801943128"
"풍차11","2022-10-01","-0.07104835681"
"풍차12","2022-10-01","-0.01439253731"
"풍차1","2022-11-02","0.01696108108"
"풍차2","2022-11-02","-0.1144692308"
"풍차3","2022-11-02","-0.002457560976"
"풍차4","2022-11-02","-0.06005211899"
"풍차5","2022-11-02","-0.005407446809"
"풍차6","2022-11-02","-0.04039572193"
"풍차7","2022-11-02","-0.04706272727"
"풍차8","2022-11-02","-0.07915273438"
"풍차9","2022-11-02","-0.03243147208"
"풍차10","2022-11-02","-0.03944123223"
"풍차11","2022-11-02","-0.03695680751"
"풍차12","2022-11-02","0.009999004975"
"풍차1","2022-12-15","0.02765274725"
"풍차2","2022-12-15","-0.06895747664"
"풍차3","2022-12-15","-0.0228044335"
"풍차4","2022-12-15","-0.04068193562"
"풍차5","2022-12-15","-0.005981818182"
"풍차6","2022-12-15","-0.05278055556"
"풍차7","2022-12-15","0.0009404849375"
"풍차8","2022-12-15","-0.093634"
