평가일,연금 원금,연금 평가금,ELS 원금,ELS 평가금,ETF 원금,ETF 평가금,현금 원금,현금 평가금,원금 총액,평가금 총액,수익률,원금 증감액,평가 증감액
2023-09-14,,,,,,,,,123259346,121782698,-1.2%,123259346,121782698
2023-10-14,,,,,,,,,125968980,123747156,-1.8%,2709634,1964458
2023-11-16,,,,,,,,,124711950,121978498,-2.2%,-1257030,-1768658
2023-12-16,,,,,,,,,128391950,126935851,-1.1%,3680000,4957353
2024-01-15,,,,,,,,,126121950,125566888,-0.4%,-2270000,-1368963
2024-02-15,,,,,,,,,141183015,141921603,0.5%,15061065,16354715
2024-03-15,,,,,,,,,142508179,145614869,2.2%,1325164,3693266
2024-04-20,,,,,,,,,152156469,154139361,1.3%,9648290,8524492
2024-05-15,10784203,12470815,,32650000,80699199,86227094,23000000,23000000,151498631,156377613,3.2%,-657838,2238252
2024-06-14,11285690,13211329,,32650000,76439784,83044181,17000000,17000000,150890690,156981060,4.0%,-607941,603447
2024-08-01,11786542,13893396,,28930000,76034901,82938870,22000000,22000000,155618389,162239805,4.3%,4727699,5258745
2024-08-15,12295805,14257368,,26930000,75168752,81400241,23000000,23000000,157744389,163264503,3.5%,2126000,1024698
2024-09-15,12559296,14836121,,27930000,74384406,80655011,22000000,22000000,161346395,167161236,3.6%,3602006,3896733
2024-10-15,13310385,15764814,,29210000,75742893,82256782,13000000,13000000,156929080,165902049,5.7%,-4417315,-1259187
2024-11-15,13812765,16796137,,24770000,73193343,80659064,10191365,10191365,147495640,159646656,8.2%,-9433440,-6255393
2024-12-15,14314242,17697404,,25660000,72390372,81641862,10883433,10883433,149297708,163373472,9.4%,1802068,3726816
2025-01-15,14826286,17907892,,24360000,73834351,82399136,11240000,11240000,150361126,162102727,7.8%,1063418,-1270745
2025-02-15,15328738,19141286,,23360000,82079341,93242131,20000000,20000000,167682520,183117417,9.2%,17321394,21014690
2025-03-25,15328914,19188273,,23370000,86903028,97592101,17000000,17000000,171272040,184061534,7.5%,3589520,944117
2025-04-15,16336959,18127060,,26070000,90658274,96097770,12000000,12000000,175042040,177898142,1.6%,3770000,-6163392
2025-05-15,16840227,19693848,,31254140,95418537,103147439,11500000,11500000,179475965,189524194,5.6%,4433925,11626052
2025-06-16,16842146,20344533,,31873487,89247871,94691991,19876612,19876612,180603825,191666614,6.1%,1127860,2142420
2025-07-16,17858867,21699214,33928820,34151887,91973794,100895252,16557949,16557949,183606522,198533062,8.1%,3002697,6866448
2025-08-13,18359391,22588430,34030910,34379834,92098946,102321929,20624990,20624990,188014379,205530919,9.3%,4407857,6997857
2025-09-14,18860406,23792116,34038751,34587551,92573777,105996975,21074618,21074618,189014379,211948888,12.1%,1000000,6417969
2025-10-14,19362675,25896474,34410474,35177710,93165661,110960302,20997346,20997346,189474379,220099633,16.2%,460000,8150745
2025-11-14,19380040,26068713,34464014,35445312,95119798,114999836,20814260,20814260,191474379,225330590,17.7%,2000000,5230957
2025-12-14,19880592,27494637,35300782,36523549,130966375,160564776,3000000,3000000,190646428,227582962,19.4%,-827951,2252372
2026-01-15,26900000,35090257,37255799,38877543,126257355,155801576,3000000,3000000,193153052,232769376,20.5%,2506624,5186414
2026-02-18,27900000,35214403,37000000,39046348,127782179,154488655,11000000,11000000,203633052,239749406,17.7%,10480000,6980030
2026-03-15,28900000,36845367,40000000,42198262,128259814,155450895,4000000,4000000,201133052,238494524,18.6%,-2500000,-1254882
2026-04-15,29900000,39130452,41000000,43314173,128240645,162352657,9000000,9000000,208633052,253797282,21.6%,7500000,15302758
2026-05-15,29900000,44100561,35700000,35700000,147000000,186479715,12000000,12000000,224600000,278280276,23.9%,15966948,24482994
2026-06-17,29900000,46468134,31700000,31700000,147000000,196367449,18000000,18000000,230600000,292535583,26.9%,6000000,14255307
2026-07-15,29900000,43479067,22720000,22720000,147000000,185407155,31000000,31024301,243600000,282630523,16.0%,13000000,-9905060
