상품명,평가일,투자원금,평가금액,수익률
퇴직연금,2022. 4. 26,104015426,101810299,-2.12
개인연금(자문),2022. 4. 26,1600000,1596000,-0.25
퇴직연금,2022. 5. 7,104015426,98679435,-5.13
개인연금(자문),2022. 5. 7,2000000,1960400,-1.98
퇴직연금,2022. 5. 20,104015426,97306431,-6.45
개인연금(자문),2022. 5. 20,2000000,1888400,-5.58
퇴직연금,2022. 7. 7,104015426,93135412,-10.46
개인연금(자문),2022. 7. 7,2800000,2625000,-6.25
퇴직연금,2022. 8. 17,104015426,97753697,-6.02
개인연금(자문),2022. 8. 17,3200000,3214080,0.44
퇴직연금,2022. 9. 1,104015426,94716447,-8.94
개인연금(자문),2022. 9. 1,3600000,3492000,-3.0
퇴직연금,2022. 10. 1,104015426,88361104,-15.05
개인연금(자문),2022. 10. 1,4000000,3678000,-8.05
퇴직연금,2022. 11. 2,104015426,93125011,-10.47
개인연금(자문),2022. 11. 2,4400000,4314200,-1.95
퇴직연금,2022. 12. 15,104015426,94113157,-9.52
개인연금(자문),2022. 12. 15,4800000,4621920,-3.71
퇴직연금,2023. 1. 15,104015426,94477211,-9.17
개인연금(자문),2023. 1. 15,5200000,5063240,-2.63
퇴직연금,2023. 2. 15,104015426,96661535,-7.07
개인연금(자문),2023. 2. 15,5600000,5605600,0.1
퇴직연금,2023. 3. 6,104015426,95288532,-8.39
개인연금(자문),2023. 3. 6,6000000,6096000,1.6
퇴직연금,2023. 4. 14,104015426,96599126,-7.13
개인연금(자문),2023. 4. 14,6400000,6538880,2.17
퇴직연금,2023. 5. 13,104015426,96838362,-6.9
개인연금(자문),2023. 5. 13,6800000,6987680,2.76
퇴직연금,2023. 6. 15,104015426,97951327,-5.83
개인연금(자문),2023. 6. 15,7200000,7485120,3.96
퇴직연금,2023. 7. 8,104015426,98190562,-5.6
개인연금(자문),2023. 7. 8,7600000,7615960,0.21
퇴직연금,2023. 8. 14,104015426,100978176,-2.92
개인연금(자문),2023. 8. 14,8000000,8542400,6.78
퇴직연금,2023. 9. 14,104015426,101071789,-2.83
개인연금(자문),2023. 9. 14,8400000,8866200,5.55
퇴직연금,2023. 10. 14,104015426,100801349,-3.09
개인연금(자문),2023. 10. 14,8800000,9239120,4.99
퇴직연금,2023. 11. 16,104015426,99854809,-4.0
개인연금(자문),2023. 11. 16,9200000,9459440,2.82
퇴직연금,2023. 12. 16,104015426,102111944,-1.83
개인연금(자문),2023. 12. 16,9600000,10289280,7.18
퇴직연금,2023. 12. 29,104015426,102725635,-1.24
개인연금(자문),2023. 12. 29,9600000,10355520,7.87
퇴직연금,2024. 1. 15,104015426,103817797,-0.19
개인연금(자문),2024. 1. 15,10000000,10962000,9.62
퇴직연금,2024. 2. 15,104015426,105232406,1.17
개인연금(자문),2024. 2. 15,10400000,11511760,10.69
퇴직연금,2024. 3. 15,104015426,107115086,2.98
개인연금(자문),2024. 3. 15,10800000,12135960,12.37
퇴직연금,2024. 4. 20,104015426,106990267,2.86
개인연금(자문),2024. 4. 20,11200000,13240640,18.22
퇴직연금,2024. 5. 15,104015426,109268205,5.05
개인연금(자문),2024. 5. 15,11600000,13250680,14.23
퇴직연금,2024. 6. 14,104015426,110589201,6.32
